#------------------------------------------------------------------------------------------------------------------------------------------------------
#TYPE;    VARNAME;         REALM;     FREQUENCY;     TABLE;                     TEMPORAL_SHP;         SPATIAL_SHP;       EXPNAME;            MIP
#------------------------------------------------------------------------------------------------------------------------------------------------------
cmor;    chlos;         ocnBgChem;     mon;           CMIP_Omon;                 time-mean;             XY-na;             ANY;                ANY
cmor;    dfe;           ocnBgChem;     mon;           CMIP_Omon;                 time-mean;             XY-O;              ANY;                ANY
cmor;    dissic;        ocnBgChem;     mon;           CMIP_Omon;                 time-mean;             XY-O;              ANY;                ANY
cmor;    dpco2;         ocnBgChem;     mon;           CMIP_Omon;                 time-mean;             XY-na;             ANY;                ANY
cmor;    epc100;        ocnBgChem;     mon;           CMIP_Omon;                 time-mean;             XY-na;             ANY;                ANY
cmor;    epcalc100;     ocnBgChem;     mon;           CMIP_Omon;                 time-mean;             XY-na;             ANY;                ANY
cmor;    epsi100;       ocnBgChem;     mon;           CMIP_Omon;                 time-mean;             XY-na;             ANY;                ANY
cmor;    fgco2;         ocnBgChem;     mon;           CMIP_Omon;                 time-mean;             XY-na;             ANY;                ANY
cmor;    fgo2;          ocnBgChem;     mon;           CMIP_Omon;                 time-mean;             XY-na;             ANY;                ANY
cmor;    intdic;        ocnBgChem;     mon;           CMIP_Omon;                 time-mean;             XY-na;             ANY;                ANY
cmor;    intdoc;        ocnBgChem;     mon;           CMIP_Omon;                 time-mean;             XY-na;             ANY;                ANY
cmor;    intpp;         ocnBgChem;     mon;           CMIP_Omon;                 time-mean;             XY-na;             ANY;                ANY
cmor;    no3;           ocnBgChem;     mon;           CMIP_Omon;                 time-mean;             XY-O;              ANY;                ANY
cmor;    o2;            ocnBgChem;     mon;           CMIP_Omon;                 time-mean;             XY-O;              ANY;                ANY
cmor;    ph;            ocnBgChem;     mon;           CMIP_Omon;                 time-mean;             XY-O;              ANY;                ANY
cmor;    po4;           ocnBgChem;     mon;           CMIP_Omon;                 time-mean;             XY-O;              ANY;                ANY
